Date,C1 (Section 1),C2 (Section 2)
2025-07-03,P3,P4
2025-07-04,P1,P4
2025-07-05,P2,P4
2025-07-06,P3,P4
2025-07-07,P1,P4
2025-07-08,P2,P4
2025-07-09,P3,P4
2025-07-10,P1,P4
2025-07-11,P2,P4
2025-07-12,P3,P4
2025-07-13,P1,P4
2025-07-14,P2,P4
2025-07-15,P3,P4
2025-07-16,P1,P4
2025-07-17,P2,P4
2025-07-18,P3,P4
2025-07-19,P1,P4
2025-07-20,P2,P4
2025-07-21,P3,P4
2025-07-22,P1,P4
2025-07-23,P2,P4
2025-07-24,P3,P4
2025-07-25,P1,P4
2025-07-26,P2,P4
2025-07-27,P3,P4
2025-07-28,P1,P4
2025-07-29,P2,P4
2025-07-30,P3,P4
2025-07-31,P1,P4
2025-08-01,P2,P4
2025-08-02,P3,P4
2025-08-03,P1,P4
2025-08-04,P2,P4
2025-08-05,P3,P4
2025-08-06,P1,P4
2025-08-07,P2,P4
2025-08-08,P3,P4
2025-08-09,P1,P4
2025-08-10,P2,P4
2025-08-11,P3,P4
2025-08-12,P1,P4
2025-08-13,P2,P4
2025-08-14,P3,P4
2025-08-15,P1,P4
2025-08-16,P2,P4
2025-08-17,P3,P4
2025-08-18,P1,P4
2025-08-19,P2,P4
2025-08-20,P3,P4
2025-08-21,P1,P4
2025-08-22,P2,P4
2025-08-23,P3,P4
2025-08-24,P1,P4
2025-08-25,P2,P4
2025-08-26,P3,P4
2025-08-27,P1,P4
2025-08-28,P2,P4
2025-08-29,P3,P4
2025-08-30,P1,P4
2025-08-31,P2,P4
